movie,year,genres,runtime_minutes,averagerating,numvotes,studio,domestic_gross,foreign_gross
Scary Movie 5,2013,['Comedy'],86.0,3.5,60139,W/Dim.,32000000.0,46400000.0
The Guardians,2010,"['Comedy', 'Family']",88.0,7.8,68,MBox,177000.0,0.0
Thor,2011,"['Action', 'Adventure', 'Fantasy']",115.0,7.0,683264,Par.,181000000.0,268300000.0
Warcraft,2016,"['Action', 'Adventure', 'Fantasy']",123.0,6.9,225557,Uni.,47400000.0,386300000.0
It's Kind of a Funny Story,2010,"['Comedy', 'Drama', 'Romance']",101.0,7.1,125583,Focus,6400000.0,128000.0
The Mule,2013,"['Comedy', 'Drama']",100.0,6.2,653,WB,103800000.0,68700000.0
Tooth Fairy,2010,"['Comedy', 'Family', 'Fantasy']",101.0,5.0,37939,Fox,60000000.0,52400000.0
The Danish Girl,2015,"['Biography', 'Drama', 'Romance']",119.0,7.1,146873,Focus,11100000.0,53100000.0
Jack and Jill,2011,['Comedy'],91.0,3.3,71361,Sony,74200000.0,75500000.0
Take Me Home Tonight,2011,"['Comedy', 'Drama', 'Romance']",97.0,6.3,48393,Rela.,6900000.0,0.0
Percy Jackson & the Olympians: The Lightning Thief,2010,"['Adventure', 'Family', 'Fantasy']",118.0,5.9,165108,Fox,88800000.0,137700000.0
She's Out of My League,2010,"['Comedy', 'Romance']",104.0,6.4,117245,Par.,32000000.0,17800000.0
The Book Thief,2013,"['Drama', 'War']",131.0,7.6,119023,Fox,21500000.0,55100000.0
Interstellar,2014,"['Adventure', 'Drama', 'Sci-Fi']",169.0,8.6,1299334,Par.,188000000.0,489400000.0
World War Z,2013,"['Action', 'Adventure', 'Horror']",116.0,7.0,553751,Par.,202400000.0,337600000.0
Flipped,2010,"['Comedy', 'Drama', 'Romance']",90.0,7.7,74937,WB,1800000.0,0.0
Valentine's Day,2010,"['Comedy', 'Romance']",125.0,5.7,107171,WB (NL),110500000.0,106000000.0
Priest,2011,"['Action', 'Adventure', 'Fantasy']",87.0,5.7,108320,SGem,29100000.0,49200000.0
Dracula Untold,2014,"['Action', 'Drama', 'Fantasy']",92.0,6.3,164829,Uni.,56300000.0,160800000.0
The Babymakers,2012,['Comedy'],95.0,5.0,8147,MNE,7900.0,0.0
Hotel Transylvania,2012,"['Animation', 'Comedy', 'Family']",91.0,7.1,204571,Sony,148300000.0,210100000.0
The Town,2010,"['Crime', 'Drama', 'Thriller']",125.0,7.6,322524,WB,92200000.0,61800000.0
The Kids Are All Right,2010,"['Comedy', 'Drama', 'Romance']",106.0,7.0,120656,Focus,20800000.0,13900000.0
Hoodwinked Too! Hood vs. Evil,2011,"['Animation', 'Comedy', 'Crime']",86.0,4.8,11281,Wein.,10100000.0,6800000.0
Epic,2013,"['Adventure', 'Animation', 'Family']",102.0,6.7,95318,Fox,107500000.0,160900000.0
Risen,2010,"['Biography', 'Drama']",121.0,5.3,182,Sony,36900000.0,9200000.0
The Sweeney,2012,"['Action', 'Crime', 'Drama']",112.0,6.1,18095,EOne,26700.0,6300000.0
Evangelion: 3.0 You Can (Not) Redo,2012,"['Action', 'Animation', 'Drama']",96.0,7.0,8215,Elev.,175000.0,60300000.0
Mr. Peabody & Sherman,2014,"['Adventure', 'Animation', 'Comedy']",92.0,6.8,57277,Fox,111500000.0,164200000.0
My Soul to Take,2010,"['Horror', 'Mystery', 'Thriller']",107.0,4.8,18381,Uni.,14700000.0,6200000.0
Red State,2011,"['Action', 'Crime', 'Horror']",88.0,6.2,59266,SMod,1100000.0,0.0
Please Give,2010,"['Comedy', 'Drama']",87.0,6.6,10652,SPC,4000000.0,280000.0
Eat Pray Love,2010,"['Drama', 'Romance']",133.0,5.8,77709,Sony,80600000.0,124000000.0
Sanctum,2011,"['Adventure', 'Drama', 'Thriller']",108.0,5.9,51318,Uni.,23200000.0,85400000.0
Snitch,2013,"['Action', 'Drama', 'Thriller']",112.0,6.5,78142,LG/S,42900000.0,0.0
Legends of Oz: Dorothy's Return,2013,"['Adventure', 'Animation', 'Family']",88.0,5.5,5351,CE,8500000.0,10200000.0
The Wedding Ringer,2015,['Comedy'],101.0,6.7,66893,SGem,64500000.0,15300000.0
The Switch,2010,"['Comedy', 'Drama', 'Romance']",101.0,6.1,90661,Mira.,27800000.0,22100000.0
Letters to Juliet,2010,"['Adventure', 'Comedy', 'Drama']",105.0,6.6,86137,Sum.,53000000.0,26100000.0
How to Train Your Dragon,2010,"['Action', 'Adventure', 'Animation']",98.0,8.1,611299,P/DW,217600000.0,277300000.0
Shrek Forever After,2010,"['Adventure', 'Animation', 'Comedy']",93.0,6.3,167532,P/DW,238700000.0,513900000.0
From Prada to Nada,2011,"['Comedy', 'Drama', 'Romance']",107.0,5.6,13644,LGF,3000000.0,123000.0
The Whistleblower,2010,"['Action', 'Biography', 'Crime']",112.0,7.2,29826,Gold.,1100000.0,0.0
The Hobbit: An Unexpected Journey,2012,"['Adventure', 'Family', 'Fantasy']",169.0,7.9,719629,WB (NL),303000000.0,718100000.0
Love & Mercy,2014,"['Biography', 'Drama', 'Music']",121.0,7.4,32238,RAtt.,12600000.0,16100000.0
The Legend of Tarzan,2016,"['Action', 'Adventure', 'Drama']",110.0,6.3,150154,WB,126600000.0,230100000.0
Rabbit Hole,2010,['Drama'],91.0,7.0,45357,LGF,2200000.0,2900000.0
The Last Airbender,2010,"['Action', 'Adventure', 'Family']",103.0,4.1,137734,Par.,131800000.0,187900000.0
Salt,2010,"['Action', 'Mystery', 'Thriller']",100.0,6.4,277204,Sony,118300000.0,175200000.0
Source Code,2011,"['Action', 'Drama', 'Sci-Fi']",93.0,7.5,452036,Sum.,54700000.0,92600000.0
Black Swan,2010,"['Drama', 'Thriller']",108.0,8.0,648854,FoxS,107000000.0,222400000.0
Green Zone,2010,"['Action', 'Drama', 'Thriller']",115.0,6.8,122132,Uni.,35100000.0,59800000.0
